"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ywhag",1.85562966242323e-230,0.360492251448691,0.661,0.524,3.35479286669495e-226
"Idua",2.19146238448331e-230,0.372619635493056,0.321,0.196,3.96194484490738e-226
"Fosl2",1.21329293371179e-229,0.41353315240091,0.73,0.63,2.19351229485755e-225
"Clip1",1.55204104969449e-227,0.377051420380133,0.408,0.273,2.80593501374267e-223
"Dgkq",1.45771075246046e-226,0.368231493827636,0.393,0.261,2.63539526937327e-222
"Ube3b",1.04730753618009e-222,0.351245262520071,0.432,0.296,1.89342729465999e-218
"Sema3f",3.79635314235918e-222,0.38979129563109,0.604,0.468,6.86342684607115e-218
"Ythdc1",1.39636654669151e-221,0.358121658686434,0.452,0.316,2.52449107976357e-217
"Acads",4.32446907542011e-220,0.356800999257547,0.36,0.232,7.81820764145202e-216
"Por",4.71947075619145e-218,0.405527168976149,0.395,0.267,8.53233118011852e-214
"Lrpap1",1.03172982691396e-216,0.358369888655546,0.36,0.233,1.86526435407776e-212
"Erp29",1.92492636897254e-216,0.357625071631562,0.509,0.376,3.48007438246546e-212
"Arl6ip4",2.20448002427893e-215,0.351941434821593,0.459,0.323,3.98547943589387e-211
"Ep400",4.00571679411882e-215,0.34366326774284,0.393,0.264,7.24193539208741e-211
"Kmt5a",6.72980958464583e-215,0.364687448335143,0.47,0.336,1.21668227480812e-210
"Hgfac",1.92389081160089e-214,0.430031216472991,0.362,0.237,3.47820219829326e-210
"Pom121",4.36314517156178e-212,0.352226906252947,0.376,0.25,7.88813015566654e-208
"Prom1",8.28393410514802e-212,0.471751604003302,0.712,0.614,1.49765244686971e-207
"Uso1",2.39744203482837e-211,0.35631215980907,0.344,0.221,4.33433545476622e-207
"Tmem214",1.33930731585464e-210,0.340905808593179,0.396,0.266,2.42133369633361e-206
"Gak",1.07197667297453e-209,0.331814127242076,0.506,0.37,1.93802662707065e-205
"Pds5a",2.81965447347118e-209,0.33277283164346,0.544,0.408,5.09765332258855e-205
"Ssh1",3.40295929093717e-209,0.357226007778511,0.313,0.195,6.15221010208532e-205
"Arpc1b",1.90741611881522e-208,0.352673234615468,0.557,0.428,3.44841760120604e-204
"Ift81",2.15832041528392e-208,0.344321585545742,0.325,0.204,3.9020274787918e-204
"Ift172",1.23850574162147e-205,0.353870687092215,0.291,0.176,2.23909453027745e-201
"Rell1",1.55181800313233e-205,0.358411939432199,0.417,0.289,2.80553176786295e-201
"Fbxl5",6.63093814203466e-203,0.345388380174246,0.493,0.36,1.19880730669845e-198
"Depdc5",2.24910729378103e-201,0.337932662894321,0.412,0.285,4.06616107642673e-197
"Vsig10",3.46653288465024e-201,0.318893532662421,0.647,0.518,6.26714480215916e-197
"Ddx54",4.02946216599853e-200,0.341278759364228,0.401,0.275,7.28486464990875e-196
"Get4",4.53009689050485e-200,0.342385520083282,0.385,0.26,8.18996216834372e-196
"Sbno1",1.66802797965225e-199,0.339237019246857,0.337,0.219,3.0156277844133e-195
"Zfand2a",1.1586470155324e-198,0.414299747182923,0.266,0.158,2.09471793938103e-194
"Ddx55",3.20281379029696e-197,0.329790066752644,0.342,0.223,5.79036705147788e-193
"Prkag2",2.40473067609312e-196,0.35471308249092,0.35,0.231,4.34751258930875e-192
"Pdap1",2.97630447686915e-196,0.323989389261546,0.534,0.401,5.38086086373174e-192
"Cux1",4.02584455968353e-196,0.310573857885995,0.745,0.63,7.27832437945186e-192
"Tmem165",3.83221367173365e-194,0.326363473797615,0.31,0.196,6.92825909712726e-190
"Pptc7",1.1288800365333e-193,0.336091368206322,0.304,0.191,2.04090221804856e-189
"Znhit1",3.43300516972759e-193,0.321480015812166,0.388,0.264,6.20653004635051e-189
"Cwh43",5.94864175478768e-193,0.44661422837915,0.261,0.158,1.07545494284807e-188
"Zfp512",4.80073217031565e-192,0.342182230915211,0.273,0.165,8.67924369071366e-188
"Wipi2",6.79172529290915e-192,0.306277785136115,0.488,0.355,1.22787601570505e-187
"Nsd2",1.29120863530789e-191,0.3881651041759,0.441,0.318,2.33437609177314e-187
"Iqce",1.24314396662582e-190,0.333621398717463,0.304,0.191,2.24747997726283e-186
"Lcorl",2.80329965425236e-190,0.353221779717692,0.333,0.218,5.06808544492285e-186
"Taok3",1.0339526167418e-189,0.308575064728661,0.474,0.341,1.8692829358075e-185
"Polr1d",6.43161392133535e-189,0.323963070136607,0.452,0.326,1.16277148083822e-184
"Rsbn1l",1.70370291769947e-188,0.343221266953988,0.389,0.268,3.08012450490888e-184
"Ptpn11",1.4816920898341e-187,0.32531808825502,0.352,0.235,2.67875112921107e-183
"Acox3",1.73594762491153e-187,0.334658578807626,0.324,0.21,3.13841971107756e-183
"Snx17",3.50641319253688e-186,0.323678646060725,0.365,0.246,6.33924441078743e-182
"Nelfa",5.02562904603988e-186,0.322818749342866,0.308,0.197,9.0858347523355e-182
"Dcun1d4",3.2141655029427e-184,0.330474761059549,0.271,0.165,5.8108898127701e-180
"Zkscan1",1.42052939480198e-183,0.315293905409978,0.404,0.283,2.56817509286251e-179
"Gnb2",2.67254014278361e-183,0.311617824197962,0.375,0.257,4.83168532413848e-179
"Cdh13",3.9381908116976e-183,0.376652222418341,0.395,0.277,7.11985516846809e-179
"Ppp1cb",8.34158105590337e-182,0.301766779024629,0.511,0.385,1.50807443909677e-177
"Plod3",1.12806618895617e-181,0.326763347128123,0.389,0.269,2.03943086301385e-177
"Mpv17",7.8331935855982e-181,0.316231806045038,0.288,0.181,1.4161630683403e-176
"Zfp68",8.7267922320462e-181,0.303304666180143,0.284,0.177,1.57771676763163e-176
"Rfc1",1.78645630091927e-180,0.318373843495906,0.297,0.189,3.22973434643195e-176
"Ltbp3",1.52731386881182e-179,0.328527956545944,0.551,0.423,2.76123074342489e-175
"Rab28",1.4909671572043e-178,0.312147772487646,0.313,0.202,2.69551952350965e-174
"Ttyh3",3.61029800329055e-178,0.338083275858368,0.473,0.351,6.52705776014898e-174
"Stx1a",6.20780830366123e-176,0.321457969118551,0.413,0.291,1.12230966321891e-171
"Tbc1d19",2.96109597001517e-175,0.323294630767088,0.276,0.172,5.35336540419042e-171
"Tnip2",6.09086085278078e-175,0.321587562021851,0.475,0.35,1.10116673357424e-170
